"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","women","native_american","asian","black","hispanic","pacific_islander","white","two_more_races","unkown","foreign","total_minority"
"University of Wisconsin-River Falls","Wisconsin","WI","Public","4 Year",6513,7862,14375,15435,21948,NA,25,47100,81300,52,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Wisconsin-Stevens Point","Wisconsin","WI","Public","4 Year",7522,8088,15610,16355,23877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Wisconsin-Stout","Wisconsin","WI","Public","4 Year",6924,9457,16381,17423,24347,9394,11,50400,89500,47,14,4626,28,307,156,220,14,8089,155,74,351,880
"University of Wisconsin-Superior","Wisconsin","WI","Public","4 Year",6792,8126,14918,15699,22491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Wisconsin-Washington County","Wisconsin","WI","Public","2 Year",NA,5118,5118,12690,12690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Wisconsin-Waukesha","Wisconsin","WI","Public","2 Year",NA,5148,5148,12719,12719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Wisconsin-Whitewater","Wisconsin","WI","Public","4 Year",6786,7692,14478,16265,23051,NA,12,48900,89300,44,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Wyoming","Wyoming","WY","Public","4 Year",10320,5400,15720,17490,27810,12820,1,52400,98800,58,25,6661,72,171,121,749,33,9506,305,1001,862,1451
"Upper Iowa University","Iowa","IA","Private","4 Year",8454,30450,38904,30450,38904,NA,24,44200,78000,56,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Urban College of Boston","Massachusetts","MA","Private","2 Year",NA,11150,11150,11150,11150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Urbana University","Ohio","OH","Private","4 Year",9998,23700,33698,23700,33698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ursinus College","Pennsylvania","PA","Private","4 Year",12750,52050,64800,52050,64800,NA,18,54400,101800,42,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ursuline College","Ohio","OH","Private","4 Year",10776,32390,43166,32390,43166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Utah State University","Utah","UT","Public","4 Year",6400,7424,13824,21505,27905,NA,4,52400,93900,61,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Utah Valley University","Utah","UT","Public","4 Year",NA,5726,5726,16296,16296,NA,7,51100,90600,57,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Utica College","New York","NY","Private","4 Year",11248,21382,32630,21382,32630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UW Colleges Fox Valley","Wisconsin","WI","Public","2 Year",NA,5060,5060,12632,12632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UW Colleges Manitowoc","Wisconsin","WI","Public","2 Year",NA,5156,5156,12728,12728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UW Colleges Richland","Wisconsin","WI","Public","2 Year",NA,5347,5347,12918,12918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UW Colleges Rock County","Wisconsin","WI","Public","2 Year",NA,5132,5132,12703,12703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UW Colleges Sheboygan","Wisconsin","WI","Public","2 Year",NA,5132,5132,12703,12703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Valdosta State University","Georgia","GA","Public","4 Year",8110,7476,15586,20958,29068,11563,19,43400,81000,57,7,7081,33,129,3858,485,14,6368,341,49,286,4860
"Valencia College","Florida","FL","Public","2 Year",NA,3366,3366,12828,12828,43217,NA,NA,NA,NA,NA,23884,144,1898,7490,13965,190,13600,1020,4039,871,24707
"Valley City State University","North Dakota","ND","Public","4 Year",6446,7626,14072,17166,23612,1378,NA,NA,NA,NA,NA,817,12,7,43,58,2,1156,37,18,45,159
"Valley Forge Military College","Pennsylvania","PA","Private","2 Year",16600,29975,46575,29975,46575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Valparaiso University","Indiana","IN","Private","4 Year",11860,40260,52120,40260,52120,4507,8,53300,98000,52,31,2314,15,87,283,329,1,2930,91,153,618,806
